Date,Fluctuation_Range,Average_Price
2014-01,5710,62090
2014-02,4765,62445
2014-03,6430,61017
2014-04,3517,60694
2014-05,1691,61907
2014-06,2715,64217
2014-07,3362,64140
2014-08,3586,66349
2014-09,4094,68054
2014-10,3495,67649
2014-11,1688,67711
2014-12,3705,66615
2015-01,4620,65100
2015-02,4277,66012
2015-03,4560,64947
2015-04,3105,64051
2015-05,4488,64570
2015-06,5132,65797
2015-07,2545,69697
2015-08,2493,71773
2015-09,1975,75012
2015-10,3894,76716
2015-11,1451,77509
2015-12,2755,77495
2016-01,3835,78551
2016-02,4045,81176
2016-03,2810,81005
2016-04,8560,78789
2016-05,3370,73806
2016-06,4241,76304
2016-07,2858,78152
2016-08,3910,79191
2016-09,1944,79802
2016-10,1795,79910
2016-11,3324,79468
2016-12,2004,78413
2017-01,3489,78120
2017-02,3287,77655
2017-03,2965,78038
2017-04,1992,78316
2017-05,3709,77344
2017-06,3046,77891
2017-07,2427,79098
2017-08,2097,79810
2017-09,1732,81929
2017-10,2607,84091
2017-11,4047,82097
2017-12,3658,82606
2018-01,3379,81435
2018-02,3963,81228
2018-03,5726,81221
2018-04,4677,81511
2018-05,2656,80014
2018-06,3898,79618
2018-07,4922,80528
2018-08,3600,79652
2018-09,3369,81769
2018-10,3325,84621
2018-11,7633,83901
2018-12,9606,83110
2019-01,6103,80885
2019-02,4240,79746
2019-03,3374,78199
2019-04,2026,78723
2019-05,3179,79227
2019-06,4922,80899
2019-07,5790,82789
2019-08,5789,82585
2019-09,7006,86276
2019-10,3913,89620
2019-11,2181,90363
2019-12,4400,89420
2020-01,4826,92598
2020-02,7209,92173
2020-03,4451,92423
2020-04,5199,93634
2020-05,5973,93687
2020-06,4805,100062
2020-07,4080,100406
2020-08,5030,100417
2020-09,6930,101723
2020-10,4807,101460
2020-11,3587,103801
2020-12,5175,100994
2021-01,4190,101337
2021-02,4365,100539
2021-03,2721,101434
2021-04,7145,100027
2021-05,5146,100939
2021-06,6407,101701
2021-07,10487,100743
2021-08,6660,99247
2021-09,10831,103039
2021-10,4675,110791
2021-11,12703,107207
2021-12,5515,108714
2022-01,4880,112189
2022-02,1580,109628
2022-03,2360,109645
2022-04,3430,109145
2022-05,6770,106728
2022-06,6270,105204
2022-07,5270,104191
2022-08,6690,101948
2022-09,4770,100697
2022-10,10470,105381
2022-11,10180,102955
2022-12,8870,99666
2023-01,2200,97411
2023-02,6370,94662
2023-03,4670,91365
2023-04,6950,91389
2023-05,6340,92395
2023-06,7660,94426
2023-07,14630,94399
2023-08,7110,87572
2023-09,4300,90615
2023-10,13380,94367
2023-11,13780,98537
2023-12,8260,93835
